Partlist

Exported from BugFics_v1.sch at 2021/10/28 16:21

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part      Value           Device          Package         Library         Sheet

C1        100uF           CPOL-USE2-5     E2-5            rcl             1
C2        0.1uF           C-EU025-025X050 C025-025X050    rcl             1
C3        33uF            CPOL-USE2-5     E2-5            rcl             1
C6,C7     18pF            C-EU050-025X075 C050-025X075    resistor        2
CN1                       PINHD-1X4       1X04            pinhead         1
D1        1N5817          1N5817          DO41-3          1N5817          1
LED1      BLUE            LED3MM          LED3MM          led             1
P1        B2P-VH          B2P-VH          B2P-VH          con-jst-vh      1
PI_HEADER                 FE05-2W         FE05-2W         con-lsta        1
Q1        MTP4835I3       MTP4835I3       IPAK_CASE_369D  MTP4835I3       1
Q2        8MHz            CRYSTALHC49S    HC49/S          crystal         1
R1        10k             R-US_0207/7     0207/7          rcl             1
R2        4.7k            R-US_0207/7     0207/7          rcl             1
R3,R4     0               R-US_0207/7     0207/7          rcl             2
R5        1k              R-US_0207/7     0207/7          rcl             1
S10,S11,S12,S13           MA03-1          MA03-1          con-lstb        4
U$1       STM32F103C8     BLUE_PILL       BLUE_PILL       BluePill        1
U1        TA48M05F        TA48M05F        TO252           TA48M05F        1
U2                        Adafruit PCA968516              815             1
U3_MPU                    MA08-1          MA08-1          con-lstb        1
X1        MKDSN1,5/2-5,08 MKDSN1,5/2-5,08 MKDSN1,5/2-5,08 con-phoenix-508 1
